iter	Passed	Remaining
1494	5093	3424
1495	5096	3420
1496	5099	3416
1497	5102	3413
1498	5106	3409
1499	5108	3405
1500	5112	3402
1501	5115	3398
1502	5117	3394
1503	5120	3390
1504	5122	3386
1505	5125	3382
1506	5127	3378
1507	5131	3375
1508	5133	3371
1509	5137	3368
1510	5140	3364
1511	5143	3361
1512	5147	3358
1513	5151	3354
1514	5153	3350
1515	5156	3346
1516	5159	3343
1517	5163	3340
1518	5166	3336
1519	5168	3332
1520	5171	3328
1521	5173	3324
1522	5175	3320
1523	5178	3316
1524	5180	3312
1525	5183	3308
1526	5187	3305
1527	5190	3302
1528	5195	3299
1529	5198	3295
1530	5201	3292
1531	5205	3289
1532	5209	3285
1533	5213	3282
1534	5216	3279
1535	5220	3276
1536	5225	3273
1537	5229	3271
1538	5233	3268
1539	5237	3264
1540	5240	3261
1541	5245	3258
1542	5248	3255
1543	5251	3251
1544	5254	3247
1545	5258	3245
1546	5262	3242
1547	5265	3238
1548	5268	3234
1549	5272	3231
1550	5275	3227
1551	5279	3224
1552	5281	3220
1553	5285	3217
1554	5289	3214
1555	5292	3211
1556	5296	3207
1557	5298	3203
1558	5302	3200
1559	5306	3197
1560	5309	3193
1561	5312	3190
1562	5314	3186
1563	5317	3182
1564	5322	3179
1565	5324	3175
1566	5328	3172
1567	5332	3169
1568	5336	3166
1569	5338	3162
1570	5340	3158
1571	5344	3154
1572	5346	3150
1573	5350	3147
1574	5354	3144
1575	5358	3141
1576	5360	3137
1577	5364	3134
1578	5369	3131
1579	5372	3128
1580	5375	3124
1581	5378	3120
1582	5380	3117
1583	5383	3113
1584	5387	3109
1585	5389	3106
1586	5392	3102
1587	5396	3099
1588	5399	3095
1589	5402	3092
1590	5407	3089
1591	5412	3086
1592	5415	3083
1593	5419	3080
1594	5423	3077
1595	5427	3074
1596	5430	3070
1597	5433	3067
1598	5437	3063
1599	5440	3060
1600	5442	3056
1601	5446	3053
1602	5450	3050
1603	5454	3047
1604	5459	3044
1605	5461	3040
1606	5463	3036
1607	5467	3032
1608	5470	3029
1609	5473	3025
1610	5476	3022
1611	5479	3018
1612	5482	3014
1613	5486	3011
1614	5488	3007
1615	5492	3004
1616	5495	3000
1617	5498	2997
1618	5501	2993
1619	5505	2990
1620	5508	2986
1621	5512	2983
1622	5516	2980
1623	5520	2977
1624	5524	2974
1625	5528	2971
1626	5531	2967
1627	5534	2964
1628	5538	2961
1629	5541	2957
1630	5544	2953
1631	5548	2950
1632	5552	2947
1633	5555	2944
1634	5558	2940
1635	5562	2937
1636	5566	2934
1637	5569	2931
1638	5573	2927
1639	5576	2924
1640	5579	2920
1641	5583	2917
1642	5588	2914
1643	5591	2911
1644	5595	2908
1645	5598	2904
1646	5600	2900
1647	5604	2897
1648	5607	2894
1649	5611	2890
1650	5614	2886
1651	5616	2883
1652	5621	2880
1653	5625	2877
1654	5628	2874
1655	5632	2870
1656	5635	2866
1657	5638	2863
1658	5642	2860
1659	5645	2856
1660	5648	2853
1661	5651	2849
1662	5655	2846
1663	5659	2843
1664	5662	2839
1665	5666	2836
1666	5670	2833
1667	5674	2830
1668	5677	2826
1669	5680	2823
1670	5684	2819
1671	5686	2816
1672	5690	2812
1673	5695	2810
1674	5698	2806
1675	5701	2803
1676	5704	2799
1677	5708	2796
1678	5712	2793
1679	5715	2789
1680	5718	2786
1681	5722	2783
1682	5726	2779
1683	5730	2776
1684	5732	2772
1685	5735	2769
1686	5738	2765
1687	5742	2762
1688	5746	2759
1689	5749	2755
1690	5753	2752
